amazon_sku,channel_id, linnworks_code,price_uk, sale_price_uk,,,,,,,,
HFDU4.5D,1,HFDU4.5D,18.99,11.99,,,,,,,,
HFDU4.5D,2,HFDU4.5D,,,,,,,,,,
HFDU4.5D,3,HFDU4.5D,,,,,,,,,,
HFDU4.5D_FBA,1,HFDU4.5D,18.99,15.99,,,,,,,,
HFDU4.5K,1,HFDU4.5K,20.99,13.99,,,,,,,,
HFDU4.5K,2,HFDU4.5K,,,,,,,,,,
HFDU4.5K,3,HFDU4.5K,,,,,,,,,,
HFDU4.5K_FBA,1,HFDU4.5K,20.99,17.99,,,,,,,,
HFDU4.5S,1,HFDU4.5S,16.99,9.99,,,,,,,,
HFDU4.5S,2,HFDU4.5S,,,,,,,,,,
HFDU4.5S,3,HFDU4.5S,,,,,,,,,,
HFDU4.5SK,1,HFDU4.5SK,23.99,17.99,,,,,,,,
HFDU4.5SK,2,HFDU4.5SK,,,,,,,,,,
HFDU4.5SK,3,HFDU4.5SK,,,,,,,,,,
HFDU4.5SK_FBA,1,HFDU4.5SK,23.99,22.99,,,,,,,,
HFDU4.5S_FBA,1,HFDU4.5S,16.99,14.99,,,,,,,,
HSDUDF1351,1,FEDU13.5SING,44.99,32.99,,,,,,,,
HSDUDF1352,1,FEDU13.5DOUB,54.99,42.99,,,,,,,,
HSDUDF1352_FBA,1,FEDU13.5DOUB,54.99,44.99,,,,,,,,
HSDUDF1353,1,FEDU13.5KING,64.99,47.99,,,,,,,,
HSDUDF1354,1,FEDUC10.5SK,74.99,61.99,,,,,,,,
HSDUGF1051,1,HSDUGF1051,44.99,29.99,,,,,,,,
HSDUGF1051,3,HSDUGF1051,,,,,,,,,,
HSDUGF1051V,1,HSDUGF1051,44.99,29.99,,,,,,,,
HSDUGF1051V_FBA,1,HSDUGF1051,44.99,34.99,,,,,,,,
HSDUGF1052,1,HSDUGF1052,54.99,39.99,,,,,,,,
HSDUGF1052,3,HSDUGF1052,,,,,,,,,,
